Haleluya! Pujilah Allah dalam tempat kudus-Nya! Pujilah Dia dalam cakrawala-Nya yang kuat!	Molja’agi PANGERAN! Molja’agi Pangeran e dhalem Padalemmanna! Molja’agi kakowadanna e bang-abang!
Dia yang memuaskan hasratmu dengan kebaikan, sehingga masa mudamu menjadi baru seperti pada burung rajawali.	Salerana se marenge odhi’na ba’na sabarang se becce’ se ta’ korang bannya’na sampe’ ba’na teptep ngodha akantha mano’ ellang raja.
TUHAN menjalankan keadilan dan hukum bagi segala orang yang diperas.	PANGERAN alampa’agi hokom ban kaadilanna, kaangguy sakabbinna oreng se tatendhes odhi’na.
Ia telah memperkenalkan jalan-jalan-Nya kepada Musa, perbuatan-perbuatan-Nya kepada orang Israel.	Salerana anyata’agi ka Mosa sabarang se elampa’agiya Salerana, bangsa Isra’il epanangale sabarang se elampa’agi Salerana.
TUHAN adalah penyayang dan pengasih, panjang sabar dan berlimpah kasih setia.	Sabab PANGERAN reya bellas ase, lanjang sabbarra ban kataresna’anna talebat rajana.
Tidak selalu Ia menuntut, dan tidak untuk selama-lamanya Ia mendendam.	Salerana ta’ abentak ros-terrosan, ta’ duka salanjangnga.
Tidak dilakukan-Nya kepada kita setimpal dengan dosa kita, dan tidak dibalas-Nya kepada kita setimpal dengan kesalahan kita,	Pangeran ta’ ngokom sengko’ ban ba’na satembang ban dusana, otabana apareng babales ka sengko’ ban ba’na satembang ban kasala’anna.
tetapi setinggi langit di atas bumi, demikian besarnya kasih setia-Nya atas orang-orang yang takut akan Dia;	Tape padha ban tenggina langnge’ e attassa bume, sajareya rajana kataresna’anna ka oreng se alem.
sejauh timur dari barat, demikian dijauhkan-Nya dari pada kita pelanggaran kita.	Akantha jauna temor dhari bara’, sajareya keya jauna Salerana mowang sa-dusana sengko’ ban ba’na.
Seperti bapa sayang kepada anak-anaknya, demikian TUHAN sayang kepada orang-orang yang takut akan Dia.	Akantha oreng lake’ se neser ka na’-ana’na, kantha jareya taresnana PANGERAN ka oreng se alem.
Sebab Dia sendiri tahu apa kita, Dia ingat, bahwa kita ini debu.	Sabab PANGERAN ngagali ekagabay dhari apa sengko’ ban ba’na reya, Pangeran emot sengko’ ban ba’na pera’ dhari abu tana.
Adapun manusia, hari-harinya seperti rumput, seperti bunga di padang demikianlah ia berbunga;	Odhi’na manossa sakejja’ akantha rebba, mekkar akantha kembang e teggal;
apabila angin melintasinya, maka tidak ada lagi ia, dan tempatnya tidak mengenalnya lagi.	mon eketbat angen laju elang mosna, la’-mala’ ta’ etemmo lampadda kennengnganna.
Tetapi kasih setia TUHAN dari selama-lamanya sampai selama-lamanya atas orang-orang yang takut akan Dia, dan keadilan-Nya bagi anak cucu,	Tape PANGERAN teptep taresna ka oreng alem, kabecce’anna ta’ ambu ron-temoron
bagi orang-orang yang berpegang pada perjanjian-Nya dan yang ingat untuk melakukan titah-Nya.	ka oreng se neggu’i parjanjiyanna, ban esto ajalannagi papakonna.
TUHAN sudah menegakkan takhta-Nya di sorga dan kerajaan-Nya berkuasa atas segala sesuatu.	PANGERAN marenta e sowarga; Salerana jareya rato se ngobasane sakabbinna.
Pujilah TUHAN, hai malaikat-malaikat-Nya, hai pahlawan-pahlawan perkasa yang melaksanakan firman-Nya dengan mendengarkan suara firman-Nya.	Molja’agi PANGERAN, kat-malaekat se parjuga, se meyarsa’agi ban alampa’agi dhabuna.
Pujilah TUHAN, hai segala tentara-Nya, hai pejabat-pejabat-Nya yang melakukan kehendak-Nya.	Molja’agi PANGERAN, lok-mahlok e sowarga, sakabbinna abdina se ajalannagi kasokanna.
Pujilah TUHAN, hai segala buatan-Nya, di segala tempat kekuasaan-Nya! Pujilah TUHAN, hai jiwaku!	Molja’agi PANGERAN, sakabbinna cepta’an se badha e baba kakobasa’anna. Molja’agi PANGERAN, tang sokma!
Doa seorang sengsara, pada waktu ia lemah lesu dan mencurahkan pengaduhannya ke hadapan TUHAN. TUHAN, dengarkanlah doaku, dan biarlah teriakku minta tolong sampai kepada-Mu.	Du’ana oreng se nyangsara e dhalem kabadha’an lesso aserro ka PANGERAN. Adhu GUSTE, peyarsa’agi du’a abdidalem, moga serrona abdidalem napa’a ka Junandalem.
Janganlah sembunyikan wajah-Mu terhadap aku pada hari aku tersesak. Sendengkanlah telinga-Mu kepadaku; pada hari aku berseru, segeralah menjawab aku!	Ja’ malengos dhari abdidalem, manabi abdidalem e dhalem kasossa’an. Peyarsa’agi manabi abdidalem aserro, kasokana Junandalem duli nyaot.
Sebab hari-hariku habis seperti asap, tulang-tulangku membara seperti perapian.	Odhi’ abdidalem elang akadi okos; lang-tolang abdidalem akadi mardhana apoy.
Hatiku terpukul dan layu seperti rumput, sehingga aku lupa makan rotiku.	Abdidalem lesso akadi rebba se kerreng, sareng ta’ gadhuwan napso se neddha’a.
Oleh sebab keluhanku yang nyaring, aku tinggal tulang-belulang.	Abdidalem ngadhudhu epakaja; badan kare kole’ se abungkos tolang.
Aku sudah menyerupai burung undan di padang gurun, sudah menjadi seperti burung ponggok pada reruntuhan.	Abdidalem akadi mano’ alas e ra-ara, akadi wek-kowek e jur-gujuran se seppe.
Aku tak bisa tidur dan sudah menjadi seperti burung terpencil di atas sotoh.	Abdidalem ta’ ngeddha tedhung, akadi mano’ se kaseppeyan e ata’na compo’.
Sepanjang hari aku dicela oleh musuh-musuhku, orang-orang yang mempermainkan aku menyumpah dengan menyebut namaku.	Saare benteng abdidalem eya-seya moso; nyama abdidalem ebadhi babaston sareng oreng se peggel ka abdidalem.
Sebab aku makan abu seperti roti, dan mencampur minumanku dengan tangisan,	Abdidalem neddha abu akadi roti, se eenom abdidalem acampor aeng tengal,
oleh karena marah-Mu dan geram-Mu, sebab Engkau telah mengangkat aku dan melemparkan aku.	sabab sareng Junandalem abdidalem eangka’ laju ebantengngagi, lantaran dukaepon Junandalem ekabbiyagi.
Hari-hariku seperti bayang-bayang memanjang, dan aku sendiri layu seperti rumput.	Odhi’ abdidalem lebat akadi jang-bajangan e baja asar; abdidalem elop akadi rebba.
Tetapi Engkau, ya TUHAN, bersemayam untuk selama-lamanya, dan nama-Mu tetap turun-temurun.	Namong Junandalem, GUSTE, salanjangnga teptep Rato, se terros ekaemodi ron-temoron.
Engkau sendiri akan bangun, akan menyayangi Sion, sebab sudah waktunya untuk mengasihaninya, sudah tiba saatnya.	Junandalem bakal ngadegga noduwagiya kabellasan ka Siyon, sabab ampon napa’ sa’adda Siyon ekabellasi.
Sebab hamba-hamba-Mu sayang kepada batu-batunya, dan merasa kasihan akan debunya.	Sabab di-abdiepon Junandalem taresna ka kottha gapaneka, sanare ampon aropa jur-gujuran se tadha’ argana. Sadaja padha arassa neser, sanare ampon aropa abu sareng tana.
Maka bangsa-bangsa menjadi takut akan nama TUHAN, dan semua raja bumi akan kemuliaan-Mu,	Kobasana PANGERAN bakal ekatako’ana sa-bangsa; kamolja’anna ekasengkae to-rato saalam dunnya,
bila TUHAN sudah membangun Sion, sudah menampakkan diri dalam kemuliaan-Nya,	e bakto PANGERAN mateppa’ Siyon pole sarta kalowar e dhalem kaagunganna.
sudah berpaling mendengarkan doa orang-orang yang bulus, dan tidak memandang hina doa mereka.	Pangeran bakal meyarsa’agiya du’ana ommadda se malarat ban ta’ nolak parnyo’onanna.
Biarlah hal ini dituliskan bagi angkatan yang kemudian, dan bangsa yang diciptakan nanti akan memuji-muji TUHAN,	Mara toles sabarang se elampa’agi PANGERAN me’ olle ekataowe angkadan se bakal dhateng, sopaja bangsa se gi’ ta’ elahirragi e dunnya, bisa amolja’agi Salerana.
sebab Ia telah memandang dari ketinggian-Nya yang kudus, TUHAN memandang dari sorga ke bumi,	PANGERAN ngoladi dhari kalenggiyanna se tenggi, dhari sowarga nyongngo’ ka bume,
untuk mendengar keluhan orang tahanan, untuk membebaskan orang-orang yang ditentukan mati dibunuh,	meyarsa’agiya serrona oreng tahanan, mabebasa reng-oreng se eokom mate.
supaya nama TUHAN diceritakan di Sion, dan Dia dipuji-puji di Yerusalem,	Daddi asmana bakal eberta’agiya e Siyon, Salerana bakal emolja’agiya e Yerusalim,
apabila berkumpul bersama-sama bangsa-bangsa dan kerajaan-kerajaan untuk beribadah kepada TUHAN.	e bakto sa-bangsa ban karaja’an-karaja’an padha akompol abakteya ka PANGERAN.
Ia telah mematahkan kekuatanku di jalan, dan memperpendek umurku.	PANGERAN motel tang kakowadan e bakto sengko’ gi’ ngodha, tang omor epapandha’.
Aku berkata: "Ya Allahku, janganlah mengambil aku pada pertengahan umurku! Tahun-tahun-Mu tetap turun-temurun!"	Sengko’ pas mator, "Ya Allah ja’ cabuddagi nyaba abdidalem, sabab abdidalem gi’ ta’ towa." GUSTE, Junandalem odhi’ salanjangnga,
Dahulu sudah Kauletakkan dasar bumi, dan langit adalah buatan tangan-Mu.	gi’ dhimen Junandalem abadhi bume, sapaneka jugan Junandalem se abadhi langnge’.
Semuanya itu akan binasa, tetapi Engkau tetap ada, dan semuanya itu akan menjadi usang seperti pakaian, seperti jubah Engkau akan mengubah mereka, dan mereka berubah;	Sadaja gapaneka bakal mosna’a, namong Junandalem paggun badha saterrossa; sadaja gapaneka bakal lajuwa akadi kalambi. Sareng Junandalem bakal ebuwanga akadi kalambi se laju, saamponna sadajana laju bakal mosna’a.
tetapi Engkau tetap sama, dan tahun-tahun-Mu tidak berkesudahan.	Namong Junandalem paggun padha, odhi’epon Junandalem tadha’ aherra.
Anak hamba-hamba-Mu akan diam dengan tenteram, dan anak cucu mereka akan tetap ada di hadapan-Mu.	Na’ poto abdidalem sadaja bakal taremtemma odhi’na, sareng aman saterrossa e dhalem pangaobannepon Junandalem.
Mazmur Daud. Aku hendak menyanyikan kasih setia dan hukum, aku hendak bermazmur bagi-Mu, ya TUHAN.	Jaburra Daud. Abdidalem anyanye parkara kaestowan sareng kaadilan, kaagem Junandalem, GUSTE, nyanyeyan pojiyan abdidalem!
Aku hendak memperhatikan hidup yang tidak bercela: Bilakah Engkau datang kepadaku? Aku hendak hidup dalam ketulusan hatiku di dalam rumahku.	Abdidalem ajaga’a sopaja odhi’a tadha’ calena. Bilaepon Junandalem se rabuwa manggiyana abdidalem? Abdidalem odhi’a socce e compo’,
Tiada kutaruh di depan mataku perkara dursila; perbuatan murtad aku benci, itu takkan melekat padaku.	manabi badha kajahadan sareng abdidalem ta’ epannengnga. Abdidalem baji’ ka tengkaepon oreng mortad, ta’ poron aorosan sareng reng-oreng gapaneka.
Hati yang bengkok akan menjauh dari padaku, kejahatan aku tidak mau tahu.	Abdidalem ta’ roceya, ta’ ro’-noro’a e dhalem kajahadan.
Orang yang sembunyi-sembunyi mengumpat temannya, dia akan kubinasakan. Orang yang sombong dan tinggi hati, aku tidak suka.	Oreng se tek-ngetek apetenna sareng abdidalem epateyana. Oreng se sombong sareng tenggi atena sareng abdidalem ta’ epannengnga.
Mataku tertuju kepada orang-orang yang setiawan di negeri, supaya mereka diam bersama-sama dengan aku. Orang yang hidup dengan cara yang tak bercela, akan melayani aku.	Abdidalem lebur ka oreng se esto ka Allah; reng-oreng gapaneka kengeng enneng e compo’ abdidalem. Oreng se odhi’na tadha’ calena kengeng aladine abdidalem.
Orang yang melakukan tipu daya tidak akan diam di dalam rumahku, orang yang berbicara dusta tidak akan tegak di depan mataku.	Tokang tepo ta’ kengeng enneng e compo’ abdidalem; oreng lecegan ta’ kera kowat dhep-adhebban sareng abdidalem.
Setiap pagi akan kubinasakan semua orang fasik di negeri; akan kulenyapkan dari kota TUHAN, semua orang yang melakukan kejahatan.	Sabban are abdidalem mamosna’a reng-oreng jahat e nagara ka’dhinto. Reng-oreng se alako jahat sareng abdidalem epamosna’a dhari kotthana PANGERAN.
Mazmur untuk korban syukur. Bersorak-soraklah bagi TUHAN, hai seluruh bumi!	Jabur kaangguy kurban sokkoran. Mara asorak kaator ka PANGERAN, saantero bume!
Beribadahlah kepada TUHAN dengan sukacita, datanglah ke hadapan-Nya dengan sorak-sorai!	Mara abakte ka PANGERAN kalaban ate gumbira, ngadhep ka ajunanna sambi anyanyeyagi nyanyeyan-nyanyeyan se gumbira!
Ketahuilah, bahwa Tuhanlah Allah; Dialah yang menjadikan kita dan punya Dialah kita, umat-Nya dan kawanan domba gembalaan-Nya.	Kaenga’e ja’ PANGERAN reya Allah. Salerana se nyepta’agi sengko’ ban ba’na, daddi sengko’ ban ba’na reya kaagunganna, ommadda, bangsa se epeyara bi’ Salerana.
Masuklah melalui pintu gerbang-Nya dengan nyanyian syukur, ke dalam pelataran-Nya dengan puji-pujian, bersyukurlah kepada-Nya dan pujilah nama-Nya!	Mara maso’ lebat labang sakethengnga sambi nyanyeyagi nyanyeyan sokkor, mara maso’ ka taneyanna bi’ ji-pojiyan. Asokkor ka Salerana, molja’agi Salerana!
Sebab TUHAN itu baik, kasih setia-Nya untuk selama-lamanya, dan kesetiaan-Nya tetap turun-temurun.	Sabab PANGERAN reya sae; kataresna’anna kaangguy salanjangnga ban kaestowanna ron-temoron saterrossa.
TUHAN itu Raja, maka bangsa-bangsa gemetar. Ia duduk di atas kerub-kerub, maka bumi goyang.	PANGERAN reya Rato, daddi sa-bangsa ngetter polana tako’. Salerana alenggi e attas kerub, daddi bume agundhek.
TUHAN itu maha besar di Sion, dan Ia tinggi mengatasi segala bangsa.	Neng e Siyon PANGERAN ce’ kobasana; Salerana agung ngalebbi’i sakabbinna bangsa.
Biarlah mereka menyanyikan syukur bagi nama-Mu yang besar dan dahsyat; Kuduslah Ia!	Dina kabbi me’ olle amolja’agi asmana se agung ban molja. Socce Salerana!
Raja yang kuat, yang mencintai hukum, Engkaulah yang menegakkan kebenaran; hukum dan keadilan di antara keturunan Yakub, Engkaulah yang melakukannya.	Rato se kowat kobasa, Junandalem lebur ka hokom; Junandalem malerres sadajana; Junandalem alampa’agi hokom sareng kaadilan e Isra’il.
Tinggikanlah TUHAN, Allah kita, dan sujudlah menyembah kepada tumpuan kaki-Nya! Kuduslah Ia!	Mara agungngagi PANGERAN Allahna sengko’ ban ba’na; mara asojud e ajunanna korse karaja’anna! Socce salerana!
Musa dan Harun di antara imam-imam-Nya, dan Samuel di antara orang-orang yang menyerukan nama-Nya. Mereka berseru kepada TUHAN dan Ia menjawab mereka.	Mosa ban Harun tamaso’ mam-imamma, Samuwel sala settong se adu’a ka Salerana. Reng-oreng jareya aera’ ka PANGERAN, ban Salerana apareng jawaban.
Dalam tiang awan Ia berbicara kepada mereka; mereka telah berpegang pada peringatan-peringatan-Nya dan ketetapan yang diberikan-Nya kepada mereka.	Dhari cangga ondhem Pangeran adhabu ka reng-oreng jareya, reng-oreng jareya atoro’ ka kom-hokom ban papakonna.
TUHAN, Allah kami, Engkau telah menjawab mereka, Engkau Allah yang mengampuni bagi mereka, tetapi yang membalas perbuatan-perbuatan mereka.	Ya ALLAH Pangeran kaula, Junandalem apareng jawaban ka ommadda; monggu ka reng-oreng gapaneka Junandalem Allah se dujan nyapora, sanare reng-oreng gapaneka sareng Junandalem eokom lantaran kasala’anna.
Tinggikanlah TUHAN, Allah kita, dan sujudlah menyembah di hadapan gunung-Nya yang kudus! Sebab kuduslah TUHAN, Allah kita!	Mara agungngagi GUSTE Allahna sengko’ ban ba’na, semba Salerana e Gumo’na se socce, sabab GUSTE Allahna sengko’ ban ba’na reya socce.
Mazmur. Nyanyikanlah nyanyian baru bagi TUHAN, sebab Ia telah melakukan perbuatan-perbuatan yang ajaib; keselamatan telah dikerjakan kepada-Nya oleh tangan kanan-Nya, oleh lengan-Nya yang kudus.	Jabur. Mara anyanye nyanyeyan se anyar kaator ka PANGERAN, polana lalampa’anna se makasambu’ ate! Kalaban kobasa ban kakowadanna dibi’ Pangeran ngaolle kamennangan.
TUHAN telah memperkenalkan keselamatan yang dari pada-Nya, telah menyatakan keadilan-Nya di depan mata bangsa-bangsa.	PANGERAN aberta’agi kamennanganna; ban anyata’agi kaadilanna ka sa-bangsa.
Ia mengingat kasih setia dan kesetiaan-Nya terhadap kaum Israel, segala ujung bumi telah melihat keselamatan yang dari pada Allah kita.	Salerana emot ka kataresna’an ban kaestowanna ka Isra’il, ommadda. Sakabbinna bangsa e bume la nangale kamennanganna Allahna sengko’ ban ba’na.
Bersorak-soraklah bagi TUHAN, hai seluruh bumi, bergembiralah, bersorak-sorailah dan bermazmurlah!	Mara asorak kaator ka PANGERAN, saantero bume! Poji Pangeran ban nyanyeyan sarta sorak se gumbira.
Bermazmurlah bagi TUHAN dengan kecapi, dengan kecapi dan lagu yang nyaring,	Mara anyanye nyanyeyan pojiyan kaator ka PANGERAN, sambi nabbu calempongnga.
dengan nafiri dan sangkakala yang nyaring bersorak-soraklah di hadapan Raja, yakni TUHAN!	Tope tarompet ban sangkakala, asorak kaator PANGERAN, Ratona sengko’ ban ba’na.
Biarlah gemuruh laut serta isinya, dunia serta yang diam di dalamnya!	Mara agarudhu’, tase’ ban essena, bume ban kabbi se badha e dhalemmanna.
Biarlah sungai-sungai bertepuk tangan, dan gunung-gunung bersorak-sorai bersama-sama	Dina ngay-songay me’ olle padha akopa’, ban mo’-gumo’ padha rak-soragan e ajunanna PANGERAN.
di hadapan TUHAN, sebab Ia datang untuk menghakimi bumi. Ia akan menghakimi dunia dengan keadilan, dan bangsa-bangsa dengan kebenaran.	Sabab Pangeran rabu ahakimana bume; sa-bangsa ehakimana kalaban bendher ban adil.
TUHAN adalah Raja! Biarlah bumi bersorak-sorak, biarlah banyak pulau bersukacita!	PANGERAN reya Rato! Mara bume anga-bunga, ban lo-polo padha paperak!
Awan dan kekelaman ada sekeliling Dia, keadilan dan hukum adalah tumpuan takhta-Nya.	Pangeran ekalenglenge ondhem ban papetteng; kaadilan ban hokom menangka dhasarra pamarenta’anna.
Api menjalar di hadapan-Nya, dan menghanguskan para lawan-Nya sekeliling.	Apoy alatlat e ajunanna, mapotthon moso e sakalenglengnga.
Kilat-kilat-Nya menerangi dunia, bumi melihatnya dan gemetar.	Dhap-keddhabba nera’e dunnya, bume ngetter nangale’e jareya.
Gunung-gunung luluh seperti lilin di hadapan TUHAN, di hadapan Tuhan seluruh bumi.	Nong-gunong ngalelle akantha lilin e ajunanna PANGERAN, e ajunanna Pangeran, se ngobasane saantero bume.
Langit memberitakan keadilan-Nya, dan segala bangsa melihat kemuliaan-Nya.	Langnge’ aberta’agi kaadilanna, sa-bangsa kabbi nangale’e kamolja’anna.
Semua orang yang beribadah kepada patung akan mendapat malu, orang yang memegahkan diri karena berhala-berhala; segala allah sujud menyembah kepada-Nya.	Reng-oreng se nyemba brahala padha epamalowa, sakabbinna diba bakal asojuda e ajunanna PANGERAN.
Sion mendengarnya dan bersukacita, puteri-puteri Yehuda bersorak-sorak, oleh karena penghukuman-Mu, ya TUHAN.	Pandhudhu’ Siyon ban tha-kottha Yehuda senneng e bakto ngedhing potosanna PANGERAN.
Sebab Engkaulah, ya TUHAN, Yang Mahatinggi di atas seluruh bumi, Engkau sangat dimuliakan di atas segala allah.	Sabab Junandalem, PANGERAN Se Mahakobasa, pangobasana saantero bume; Junandalem agung, ngalebbi’i sadajana diba.
Hai orang-orang yang mengasihi TUHAN, bencilah kejahatan! Dia, yang memelihara nyawa orang-orang yang dikasihi-Nya, akan melepaskan mereka dari tangan orang-orang fasik.	Mara ba’na kabbi se taresna ka PANGERAN, jauwi ban kabaji’i kajahadan! Sabab Pangeran ngaobi odhi’na ommadda, mabebas ommadda dhari kobasana oreng se daraka.
