Tiga tahun lamanya orang tinggal aman dengan tidak ada perang antara Aram dan Israel.	Dhu taon lebbi tadha’ perrang e antarana Isra’il ban Siria.
Tetapi TUHAN telah berfirman kepada Ahia: "Bahwasanya isteri Yerobeam datang untuk menanyakan kepadamu perihal anaknya, sebab anak itu sedang sakit. Begini-begini harus kaukatakan kepadanya." Ketika perempuan itu masuk, berbuatlah ia seolah-olah ia orang lain.	Tape bi’ PANGERAN eparenge oneng ja’ rajina Yerobeyam rabuwa ka jadhiya atanya’a parkara pottrana se nganglo. Nabbi Ahiya jareya bi’ Pangeran la eparenge oneng keya apa se kodu edhabuwagi. Sanapa’na ka jadhiya rajina Yerobeyam tha-kantha ngako oreng laen.
Tetapi segera sesudah Ahia mendengar bunyi langkah perempuan itu, sementara melangkah masuk pintu, berkatalah ia: "Masuklah, hai isteri Yerobeam! Mengapakah engkau berbuat seolah-olah engkau orang lain? Aku disuruh menyampaikan pesan yang keras kepadamu.	Tape bakto meyarsa monyena tendagga e labang, Nabbi Ahiya adhabu, "Ngereng eatore lenggi, abdidalem oneng junandalem rajina Yerobeyam. Aponapa junandalem me’ kadhik nyamar? Badha kabar juba’ kaangguy junandalem.
Pergilah, katakan kepada Yerobeam: Beginilah firman TUHAN, Allah Israel: Aku telah meninggikan engkau dari tengah-tengah bangsa itu, dan mengangkat engkau menjadi raja atas umat-Ku Israel;	Junandalem gubar saos pas atorragi ka Yerobeyam ja’ PANGERAN, Allahna Isra’il adhabu sapaneka, ‘Bi’ Sengko’ ba’na la epele dhari antarana ra’yat ban epangobasae Tang ommat Isra’il.
Aku telah mengoyakkan kerajaan dari keluarga Daud dan memberikannya kepadamu, tetapi engkau tidak seperti hamba-Ku Daud yang tetap mentaati segala perintah-Ku dan mengikuti Aku dengan segenap hatinya dan hanya melakukan apa yang benar di mata-Ku.	Bi’ Sengko’ ba’na la eberri’i karaja’an se bi’ Sengko’ ekala’ dhari toronanna Daud. Tape ba’na ta’ akantha Daud Tang abdi rowa. Daud ce’ estona ka Sengko’ ban atoro’ ka Tang parenta. Se elakone coma sabarang se eanggep bendher bi’ Sengko’.
Sebab engkau telah melakukan perbuatan jahat lebih dari semua orang yang mendahului engkau dan telah membuat bagimu allah lain dan patung-patung tuangan, sehingga engkau menimbulkan sakit hati-Ku, bahkan engkau telah membelakangi Aku.	Tape ba’na ngalakone kajahadan se araja’an dhari sabarang se tao elakone sakabbinna se marenta sabellunna ba’na. Ba’na mongkore Sengko’ ban mapeggel Sengko’ polana ba’na agabay brahala ban ca-arca dhari logam se esemba’a.
Maka Aku akan mendatangkan malapetaka kepada keluarga Yerobeam. Aku akan melenyapkan dari pada Yerobeam setiap orang laki-laki, baik yang tinggi maupun yang rendah kedudukannya di Israel. Aku akan menyapu keluarga Yerobeam seperti orang menyapu tahi sampai habis.	Daddi Sengko’ madhatengnga balai ka toronanna ba’na. Sakabbinna toronanna ba’na se lalake’, bi’ Sengko’ epateyana kabbi, ta’ parduli apa’a bai pangkadda. Kalowargana ba’na epatadha’a karena akantha rombu se esapowe epaberse.
Setiap orang dari pada Yerobeam yang mati di kota akan dimakan anjing dan yang mati di padang akan dimakan burung yang di udara. Sebab TUHAN telah mengatakannya.	Kalowargana ba’na se mate e kottha bakal ekakana pate’, ban se mate e lowar kottha bakal ekakana mano’. Senga’, Sengko’ PANGERAN se ngoca’ reya!’"
Tetapi bangunlah dan pulang ke rumahmu. Pada saat kakimu melangkah masuk kota, anak itu akan mati.	Saellana jareya Nabbi Ahiya adhabu ka rajina Yerobeyam, "Samangken junandalem gubar! E bakto junandalem buru maso’ ka kottha, pottrana bakal seda’a.
Seluruh Israel akan meratapi dia dan menguburkan dia, sebab hanya dialah dari pada keluarga Yerobeam yang akan mendapat kubur, sebab di antara keluarga Yerobeam hanya padanyalah terdapat sesuatu yang baik di mata TUHAN, Allah Israel.	Ra’yat Isra’il sadajana bakal nangesa sareng ngoburragiya pottraepon junandalem ka’dhinto. Namong settong gapaneka anggotana kalowargana Yerobeyam se badhi ekoburragi sacara hormat, sabab namong pottra gapaneka saos se masenneng panggaliyanna PANGERAN, Allahna Isra’il.
Dan TUHAN akan membangkitkan bagi-Nya seorang raja atas Israel yang akan melenyapkan keluarga Yerobeam--seperti kenyataan sekarang ini.	Sareng PANGERAN Isra’il bakal eparengngana rato se ngaherana kadhudhugannepon toronanna Yerobeyam menangka rato. Arena ampon dhapa’! Ngabidi samangken
Kemudian TUHAN akan menghajar orang Israel, sehingga tergoyah-goyah seperti gelagah di air dan Ia akan menyentakkan mereka dari pada tanah yang baik ini yang telah diberikan-Nya kepada nenek moyang mereka; Ia akan menyerakkan mereka ke seberang sungai Efrat sana, oleh karena mereka telah membuat tiang-tiang berhala mereka dan dengan demikian menyakiti hati TUHAN.	PANGERAN badhi ngokoma Isra’il kantos ga’ongga’an akadi galagas e dhalem aeng. PANGERAN badhi nyabuda ra’yat Isra’il dhari nagara se sae ka’dhinto, se ampon eparengngagi PANGERAN ka bangatowana bangsa Isra’il. Sadajana badhi epasalebbudana ka bara’na Songay Efrat lantaran mapeggel PANGERAN polana abadhi ca-arcana Dewi Asyera.
Ia akan lepas tangan terhadap orang Israel oleh karena dosa-dosa yang telah dilakukan Yerobeam dan yang mengakibatkan orang Israel berdosa pula."	PANGERAN badhi adinggallagi Isra’il lantaran Yerobeyam abadhi dusa sareng andaddiyagi oreng Isra’il abadhi dusa jugan."
Sesudah itu bangkitlah isteri Yerobeam dan pergi, lalu sampailah ia ke Tirza. Pada saat ia masuk melangkahi ambang pintu rumah, matilah anak itu.	Saellana jareya rajina Yerobeyam laju mangkat ka Tirza. E bakto maso’ ka dalemma, pottrana seda.
Mereka menguburkannya, dan seluruh Israel meratapi dia sesuai dengan firman TUHAN yang diucapkan-Nya dengan perantaraan hamba-Nya, nabi Ahia.	Ra’yat Isra’il nanges noduwagi kasossa’anna, sarta laju ngoburragi jinazana pottrana Yerobeyam jareya akantha se la edhabuwagi PANGERAN kalaban parantara’anna Nabbi Ahiya, abdina.
Selebihnya dari riwayat Yerobeam, bagaimana ia berperang dan bagaimana ia memerintah, sesungguhnya semuanya itu tertulis dalam kitab sejarah raja-raja Israel.	Careta laenna parkara Rato Yerobeyam, iya areya pamarenta’anna ban paperrangan se epimpin salerana, la ecathet e dhalem ketab Sajarana To-rato Isra’il.
Lamanya Yerobeam memerintah ada dua puluh dua tahun, kemudian ia mendapat perhentian bersama-sama dengan nenek moyangnya. Maka anaknya menjadi raja menggantikan dia.	Dhu lekor taon abidda Yerobeyam jumenneng rato, saellana jareya laju seda terros esareyagi, pas egante pottrana se anyama Nadab.
Adapun Rehabeam, anak Salomo, ia memerintah di Yehuda. Rehabeam berumur empat puluh satu tahun pada waktu ia menjadi raja, dan tujuh belas tahun lamanya ia memerintah di Yerusalem, kota yang dipilih TUHAN dari antara segala suku Israel untuk membuat nama-Nya tinggal di sana. Nama ibunya ialah Naama, seorang perempuan Amon.	E bakto Rehabeyam, pottrana Sulaiman, jumenneng rato Yehuda, yuswana pa’ polo settong taon. Se marenta abidda petto bellas taon neng e Yerusalim. Dhari sanagara Isra’il kottha jareya bi’ PANGERAN ekusussagi epadaddi kennengnganna abakte ka Salerana. Ebuna Rehabeyam iya areya Na’ama dhari bangsa Amon.
Tetapi orang Yehuda melakukan apa yang jahat di mata TUHAN dan mereka menimbulkan cemburu-Nya dengan dosa yang diperbuat mereka, lebih dari pada segala yang dilakukan nenek moyang mereka.	Bangsa Yehuda ngalakone barang se jahat e dhalem pangoladanna PANGERAN. Tengkana reng-oreng jareya lebbi mapeggel Pangeran etembang ban sabarang se tao elakone bangatowana.
Sebab merekapun juga mendirikan tempat-tempat pengorbanan dan tugu-tugu berhala dan tiang-tiang berhala di atas setiap bukit yang tinggi dan di bawah setiap pohon yang rimbun.	E attassa mo’-gumo’ ban e babana ju-kajuwan raja, reng-oreng jareya maddek kennengngan panyemba’anna brahala, ban maddek gu-tugu sarta ca-arcana dewi Asyera se esemba’a.
Bahkan ada pelacuran bakti di negeri itu. Mereka berlaku sesuai dengan segala perbuatan keji bangsa-bangsa yang telah dihalau TUHAN dari orang Israel.	Se paleng parana, e sakabbinna kennengngan jareya apabadha lalake’an ban babine’an se daddi sondel menangka kabakteyan ka dibana. Oreng Yehuda ajalannagi sabarang se juba’ se la elakone sa-bangsa se eojuk PANGERAN e bakto oreng Isra’il maso’ ka nagara jareya.
Tetapi pada tahun kelima zaman raja Rehabeam, majulah Sisak, raja Mesir, menyerang Yerusalem.	E taon se kapeng lema’ e dhalem pamarenta’anna Rehabeyam, Sisak, rato Messer nyerrang Yerusalim.
Ia merampas barang-barang perbendaharaan rumah TUHAN dan barang-barang perbendaharaan rumah raja; semuanya dirampasnya. Ia merampas juga segala perisai emas yang dibuat Salomo.	Rang-barang se arga se badha e dhalem Padalemman Socce ban e karatonna rato, bariya keya meng-tameng emmas gabayanna Sulaiman, erampas kabbi.
Sebagai gantinya raja Rehabeam membuat perisai-perisai tembaga, yang dipercayakannya kepada pemimpin-pemimpin bentara yang menjaga pintu istana raja.	Daddi menangka gantena Rato Rehabeyam abadhi meng-tameng paronggu, se eparcaja’agi ka para parwira se ajaga labang sakethengnga karaton.
Setiap kali raja masuk ke rumah TUHAN, bentara-bentara membawa masuk perisai-perisai itu, dan mereka pula yang mengembalikannya ke kamar jaga para bentara.	Sabban rato meyos ka Padalemman Socce, para pangawal ngeba meng-tameng jareya, saellana pas epabali ka kamar jaga.
Selebihnya dari riwayat Rehabeam dan segala yang dilakukannya, bukankah semuanya itu tertulis dalam kitab sejarah raja-raja Yehuda?	Careta laenna parkara Rehabeyam la ecathet e dhalem ketab Sajarana To-rato Yehuda.
Dan terus-menerus perang ada antara Rehabeam dan Yerobeam.	E dhalem jaman pamarenta’anna Rehabeyam, ros-terrosan badha perrang e antarana Rehabeyam ban Yerobeyam.
Kemudian Rehabeam mendapat perhentian bersama-sama dengan nenek moyangnya, dan ia dikuburkan di samping nenek moyangnya di kota Daud. Nama ibunya ialah Naama, seorang perempuan Amon. Maka Abiam, anaknya, menjadi raja menggantikan dia.	Saellana jareya Rehabeyam seda sarta laju esareyagi e pasareyanna to-rato e Kottha Daud. Se agante daddi rato iya areya pottrana se anyama Abiyam.
Sedang Yerobeam berdiri di atas mezbah itu sambil membakar korban, maka atas perintah TUHAN datanglah seorang abdi Allah dari Yehuda ke Betel.	E bakto jareya badha settong nabbi e Yehuda, se eotos PANGERAN sopaja meyosa ka Betel. Nabbi jareya napa’ ka jadhiya e bakto Yerobeyam teppa’na ngadek e adha’na mezba ngatorragiya kurban.
Lalu atas perintah TUHAN berserulah orang itu terhadap mezbah itu, katanya: "Hai mezbah, hai mezbah! Beginilah firman TUHAN: Bahwasanya seorang anak akan lahir pada keluarga Daud, Yosia namanya; ia akan menyembelih di atasmu imam-imam bukit pengorbanan yang membakar korban di atasmu, juga tulang-tulang manusia akan dibakar di atasmu."	Kalaban dhabuna PANGERAN nabbi jareya adhabu epakaja ka mezba buru, "He mezba, he mezba! Areya’ dhabuna PANGERAN, ‘Bakal lahira na’-kana’ se enyama’ana Yosiya e dhalem kalowargana Daud. E attassa ba’na, he mezba, kana’ jareya bakal mateyana mam-imam se atugas e man-dhimman se egabay kennengnganna abakte ka diba, ban se la nyaba’ kurban e attassa ba’na. Ban e attassa ba’na reya keya kana’ jareya bakal ngobbara lang-tolangnga manossa.’"
Pada waktu itu juga ia memberitahukan suatu tanda ajaib, katanya: "Inilah tanda ajaib, bahwa TUHAN telah berfirman: Bahwasanya mezbah itu akan pecah, sehingga tercurah abu yang di atasnya."	Nabbi jareya adhabu pole, "Mezba reya bakal gujura, ban abu se badha e attasanna bakal nompa’a. Jareya buktena ja’ sengko’ eotos PANGERAN."
Demi raja Yerobeam mendengar perkataan abdi Allah yang diserukannya terhadap mezbah di Betel itu, ia mengulurkan tangannya dari atas mezbah dan berkata: "Tangkaplah dia!" Tetapi tangan yang diulurkannya terhadap orang itu menjadi kejang, sehingga tidak dapat ditariknya kembali.	E bakto meyarsa dhabuna nabbi jareya, Yerobeyam laju aduding ka nabbi jareya sambi aera’, "Pega’ oreng jareya!" Tape lengngenna Yerobeyam laju gerra sampe’ ta’ ekenneng taja’ pole.
Mezbah itupun pecahlah, sehingga abu yang di atasnya tercurah, sesuai dengan tanda ajaib yang diberitahukan abdi Allah itu atas perintah TUHAN.	Mezba jareya daksakala gujur ban abu se badha e attasanna nompa ka tana, akantha se edhabuwagi nabbi jareya menorot se epakonnagi PANGERAN.
Lalu berbicaralah raja dan berkata kepada abdi Allah itu: "Mohonkanlah belas kasihan TUHAN, Allahmu, dan berdoalah untukku, supaya tanganku dapat kembali." Dan abdi Allah itu memohonkan belas kasihan TUHAN, maka tangan raja itu dapat kembali dan menjadi seperti semula.	Rato Yerobeyam laju adhabu ka nabbi jareya, "Nyo’ona tolong kaula nyo’onnagi ka PANGERAN, Guste Allahna sampeyan. Nyo’onnagi sopaja PANGERAN kasokana mabaras lengngen kaula!" Nabbi jareya adu’a nyo’on ka PANGERAN, ban lengngenna rato jareya laju baras.
Kemudian berbicaralah raja kepada abdi Allah itu: "Marilah bersama-sama dengan aku ke rumah, segarkan badanmu, sesudah itu aku hendak memberikan suatu hadiah kepadamu."	Saellana jareya rato laju adhabu ka nabbi jareya, "Tore adha’ar e compo’ kaula. Bi’ kaula sampeyan ereng-parengana."
Tetapi abdi Allah itu berkata kepada raja: "Sekalipun setengah dari istanamu kauberikan kepadaku, aku tidak mau singgah kepadamu; juga aku tidak mau makan roti atau minum air di tempat ini.	Saodda nabbi jareya, "Sanare junandalem marengngagiya saparona karaja’anna junandalem ka abdidalem, abdidalem ta’ ngerenga junandalem, sarengngan ta’ neddha’a otaba ngenoma sareng junandalem.
Sebab beginilah diperintahkan kepadaku atas firman TUHAN: Jangan makan roti atau minum air dan jangan kembali melalui jalan yang telah kautempuh itu."	Abdidalem ampon narema papakon dhari PANGERAN sopaja ta’ neddha otaba ngenom, sareng manabi palemana ta’ lebat e jalan se elebadi abdidalem e bakto mangkat ka ka’dhinto."
Lalu pergilah ia melalui jalan lain dan tidak kembali melalui jalan yang telah diambilnya untuk datang ke Betel.	Daddi nabbi jareya laju mangkat lebat jalan laen.
Di Betel diam seorang nabi tua. Anak-anaknya datang menceritakan kepadanya segala perbuatan yang dilakukan abdi Allah pada hari itu di Betel. Mereka menceriterakan juga kepada ayah mereka perkataan yang dikatakannya kepada raja.	E bakto jareya badha settong nabbi towa e Betel. Tra-pottrana atotoran parkara nabbi e Yehuda rowa, parkara se elampa’agi nabbi jareya e Betel e are jareya, ban apa se edhabuwagi ka Rato Yerobeyam.
Kemudian ayah mereka bertanya: "Dari jalan manakah ia pergi?" Lalu anak-anaknya menunjukkan kepadanya jalan yang diambil abdi Allah yang datang dari Yehuda itu.	Nabbi towa jareya atanya, "Nabbi Yehuda jareya lebat e dhimma e bakto gubara?" Tra-pottrana noduwagi jalan jareya.
Ia berkata kepada anak-anaknya: "Pelanai keledai bagiku!" Mereka memelanai keledai baginya, lalu ia menunggangnya	Nabbi towa jareya makon tra-pottrana masang pa-kapana hemarra. Saellana jareya laju netene hemar jareya,
dan pergi mengikuti abdi Allah itu dan mendapatinya duduk di bawah sebuah pohon besar. Ia bertanya kepadanya: "Engkaukah abdi Allah yang telah datang dari Yehuda?" Jawabnya: "Ya, akulah itu."	nyerser nabbi dhari Yehuda gella’. Nabbi jareya etemmo teppa’na alenggi e babana kajuwan raja. "Ponapa sampeyan paneka nabbi dhari Yehuda ka’issa’, enggi?" dhabuna nabbi towa gella’. "Enggi, lerres," saodda oreng jareya.
Katanya kepadanya: "Marilah bersama-sama aku ke rumah untuk makan roti."	"Ngereng adha’ar e compo’ kaula," dhabuna nabbi towa gella’.
Tetapi jawabnya: "Aku tidak dapat kembali bersama-sama engkau dan singgah kepadamu; aku tidak dapat makan roti atau minum air bersama-sama engkau di tempat ini,	Tape nabbi Yehuda jareya adhabu, "Saporana saos! Kaula ta’ kengeng narema pangajagga sampeyan. Kaula ta’ kengeng ngereng sampeyan, jugan ta’ kengeng neddha otaba ngenom e ka’iya sareng sampeyan.
sebab telah diperintahkan kepadaku atas firman TUHAN: Jangan makan roti atau minum air di sana. Jangan berjalan pulang melalui jalan yang telah kauambil itu."	PANGERAN ta’ marengngagi kaula neddha otaba ngenom sareng ta’ kengeng paleman lebat e jalan se elebadi kaula pamangkadda."
Lalu jawabnya kepadanya: "Akupun seorang nabi juga seperti engkau, dan atas perintah TUHAN seorang malaikat telah berkata kepadaku: Bawa dia pulang bersama-sama engkau ke rumahmu, supaya ia makan roti dan minum air." Tetapi ia berbohong kepadanya.	Nabbi towa dhari Betel gella’ laju co-ngoco adhabu kantha reya, "Kaula nabbi jugan akadi sampeyan. Kalaban dhabuna PANGERAN, malaekat makon kaula ngone’e sampeyan ngatore dha’ar ka sampeyan e compo’ kaula."
Kemudian orang itu kembali bersama-sama dia, lalu makan roti dan minum air di rumahnya.	Daddi nabbi dhari Yehuda jareya laju meyos ka compo’na nabbi towa gella’ sarta adha’ar abareng.
Sedang mereka duduk menghadapi meja, datanglah firman TUHAN kepada nabi yang telah membawa dia pulang.	Teppa’na se kadhuwa jareya adha’ar, PANGERAN adhabu ka nabbi towa gella’,
Ia berseru kepada abdi Allah yang telah datang dari Yehuda: "Beginilah firman TUHAN: Karena engkau telah memberontak terhadap titah TUHAN dan tidak berpegang pada segala perintah yang diperintahkan kepadamu oleh TUHAN, Allahmu,	ban nabbi towa jareya laju adhabu ka nabbi dhari Yehuda gella’, "PANGERAN adhabu ja’ sampeyan ta’ atoro’ ka dhabuna. Sampeyan ta’ alampa’agi se epakonnagi ka sampeyan.
tetapi kembali dan makan roti dan minum air di tempat ini walaupun Ia telah berfirman kepadamu: Jangan makan roti atau minum air, --maka mayatmu tidak akan masuk ke dalam kubur nenek moyangmu."	Sampeyan abali, neddha sareng ngenom, mangkana sampeyan ampon elarang sareng Pangeran. Daddi sampeyan badhi epateyana, dineng mayyittepon sampeyan ta’ ekoburragiya e koburanna kalowargana sampeyan."
Setelah orang itu makan roti dan minum air, dipelanailah keledai baginya.	Samarena se kadhuwa jareya adha’ar, nabbi towa jareya masangngagi pa-kapana hemarra nabbi dhari Yehuda jareya,
Orang itu pergi, tetapi di tengah jalan ia diserang seekor singa dan mati diterkam. Mayatnya tercampak di jalan dan keledai itu berdiri di sampingnya; singa itupun berdiri di samping mayat itu.	saellana jareya nabbi Yehuda jareya laju mangkat. E tengnga lorong tatemmo ban macan, bi’ macan buru laju elonca’e, eserrang sampe’ seda. Mayyidda ajalpa e lorong, dineng hemarra manjeng e seddi’anna. Macan gella’ manjeng e jadhiya keya.
