Pada mulanya Allah menciptakan langit dan bumi.	E bakto Allah nyepta’agi alam dunnya,
Adapun Abimelekh belum menghampiri Sara. Berkatalah ia: "Tuhan! Apakah Engkau membunuh bangsa yang tak bersalah?	Tape Abimelekh gi’ ta’ nyedding Sara, daddi laju mator, "Adhu, GUSTE, Pangeran! Abidalem ta’ sala! Ponapa Junandalem mateyana abdidalem sareng bangsa abdidalem?
Bukankah orang itu sendiri mengatakan kepadaku: Dia saudaraku? Dan perempuan itu sendiri telah mengatakan: Ia saudaraku. Jadi hal ini kulakukan dengan hati yang tulus dan dengan tangan yang suci."	Ibrahim dibi’ se adhabu ja’ babine’ ka’dhinto ale’na, sarengngan jugan babine’ ka’dhinto ngoca’ sapaneka jugan. Abdidalem ngala’ babine’ ka’dhinto kalaban maksod se sae sareng ate se berse, daddi abdidalem ta’ sala."
Lalu berfirmanlah Allah kepadanya dalam mimpi: "Aku tahu juga, bahwa engkau telah melakukan hal itu dengan hati yang tulus, maka Akupun telah mencegah engkau untuk berbuat dosa terhadap Aku; sebab itu Aku tidak membiarkan engkau menjamah dia.	Allah laju adhabu pole e dhalem sopennana, "Iya bendher, Sengko’ tao ja’ ba’na pajat ngala’ babine’ jareya kalaban ate se berse. Lantaran jareya bi’ Sengko’ ba’na elang-alange sopaja ta’ agabaya dusa ka Sengko’, ban Sengko’ ba’na ta’ ebagi nyedding ka babine’ jareya.
Jadi sekarang, kembalikanlah isteri orang itu, sebab dia seorang nabi; ia akan berdoa untuk engkau, maka engkau tetap hidup; tetapi jika engkau tidak mengembalikan dia, ketahuilah, engkau pasti mati, engkau dan semua orang yang bersama-sama dengan engkau."	Daddi sateya mara babine’ jareya pabali ka lakena. Sabab lakena nabbi, nabbi jareya bakal nyo’onnagiya ba’na ka Sengko’ sopaja ba’na ta’ mateya. Tape mon ba’na ta’ endha’ mabali babine’ jareya, ba’na ban ra’yadda masthe mate!"
Keesokan harinya pagi-pagi Abimelekh memanggil semua hambanya dan memberitahukan seluruh peristiwa itu kepada mereka, lalu sangat takutlah orang-orang itu.	Kalagguwanna gu-laggu Abimelekh adikane para ponggabana, laju eparenge oneng parkara kadaddiyan jareya. Ponggabana padha katako’an kabbi.
Kemudian Abimelekh memanggil Abraham dan berkata kepadanya: "Perbuatan apakah yang kaulakukan ini terhadap kami, dan kesalahan apakah yang kulakukan terhadap engkau, sehingga engkau mendatangkan dosa besar atas diriku dan kerajaanku? Engkau telah berbuat hal-hal yang tidak patut kepadaku."	Saellana jareya Abimelekh adikane Ibrahim, laju adhabu, "Sampeyan me’ sapaneka ka kaula? Ponapa salana kaula ka sampeyan, me’ sampeyan madhateng mosiba paneka ka kaula ban ka karaja’an kaula? Ta’ sae ganeka.
Lagi kata Abimelekh kepada Abraham: "Apakah maksudmu, maka engkau melakukan hal ini?"	Ponapa maksodda sampeyan?"
Lalu Abraham berkata: "Aku berpikir: Takut akan Allah tidak ada di tempat ini; tentulah aku akan dibunuh karena isteriku.	Dhabuna Ibrahim, "Ca’epon pekker abdidalem e ka’dhinto tadha’ oreng se tako’ ka Allah, daddi abdidalem tanto epate’e manabi badha oreng se terro ka raji abdidalem.
Lagipula ia benar-benar saudaraku, anak ayahku, hanya bukan anak ibuku, tetapi kemudian ia menjadi isteriku.	Sarengngan pole Sara ka’dhinto pajat ale’ abdidalem, tonggal eppa’ laen ebu, sareng abdidalem laju ekabine.
Ketika Allah menyuruh aku mengembara keluar dari rumah ayahku, berkatalah aku kepada isteriku: Tunjukkanlah kasihmu kepadaku, yakni: katakanlah tentang aku di tiap-tiap tempat di mana kita tiba: Ia saudaraku."	Daddi e bakto Allah makon abdidalem adinggallagi compo’na eppa’, epakon entar ka nagara manca, abdidalem ngoca’ ka raji abdidalem, ‘Mon ba’na taresna ka sengko’, mon badha oreng atanya ba’na abala ja’ sengko’ reya kaka’na ba’na.’"
Kemudian Abimelekh mengambil kambing domba dan lembu sapi, hamba laki-laki dan perempuan, lalu memberikan semuanya itu kepada Abraham; Sara, isteri Abraham, juga dikembalikannya kepadanya.	Saellana jareya Abimelekh mabali Sara ka Ibrahim. Laen dhari jareya Ibrahim eparenge dumba ban sape, dunor lalake’an ban babine’an.
Dan Abimelekh berkata: "Negeriku ini terbuka untuk engkau; menetaplah, di mana engkau suka."	Dhabuna rato jareya ka Ibrahim, "Paneka nagara kaula; sampeyan kengeng alenggi e ka’imma’a saos se ekasokane."
Lalu katanya kepada Sara: "Telah kuberikan kepada saudaramu seribu syikal perak, itulah bukti kesucianmu bagi semua orang yang bersama-sama dengan engkau. Maka dalam segala hal engkau dibenarkan."	Saellana jareya rato adhabu ka Sara, "Kaka’na sampeyan bi’ kaula ampon eparenge pesse saebu salaka menangka bukte ka sadajana oreng ja’ sampeyan gi’ socce. Sampeyan ta’ sala."
Lalu Abraham berdoa kepada Allah, dan Allah menyembuhkan Abimelekh dan isterinya dan budak-budaknya perempuan, sehingga mereka melahirkan anak.	Polana kadaddiyan jareya babine’an e karatonna Abimelekh bi’ PANGERAN epajubeng kabbi. Ibrahim laju nyo’on ka Allah. Allah laju mabaras Abimelekh, rajina ban nor-dunor babine’anna, sampe’ babine’an jareya bisa andhi’ ana’ pole.
TUHAN memperhatikan Sara, seperti yang difirmankan-Nya, dan TUHAN melakukan kepada Sara seperti yang dijanjikan-Nya.	PANGERAN aberkadi Sara, noro’ janjina se edhabuwagi ka Ibrahim.
Maka mengandunglah Sara, lalu ia melahirkan seorang anak laki-laki bagi Abraham dalam masa tuanya, pada waktu yang telah ditetapkan, sesuai dengan firman Allah kepadanya.	Sara bubut, pas babar lalake’ e bakto Ibrahim la seppo. Kana’ jareya lahir e are ban baja se edhabuwagi Allah ka Ibrahim.
Abraham menamai anaknya yang baru lahir itu Ishak, yang dilahirkan Sara baginya.	Bi’ Ibrahim pottrana jareya enyamae Ishak.
Kemudian Abraham menyunat Ishak, anaknya itu, ketika berumur delapan hari, seperti yang diperintahkan Allah kepadanya.	E bakto pottrana jareya aomor ballung are, bi’ Ibrahim esonnat, menorot se edhabuwagi Allah ka salerana.
Adapun Abraham berumur seratus tahun, ketika Ishak, anaknya, lahir baginya.	E bakto Ishak lahir, yuswana Ibrahim la saratos taon.
Berkatalah Sara: "Allah telah membuat aku tertawa; setiap orang yang mendengarnya akan tertawa karena aku."	Dhabuna Sara, "Allah la apareng kagumbira’an ka sengko’ sampe’ sengko’ bisa agella’. Reng-oreng se ngedhing kabar reya tanto noro’ gumbira ban agella’ keya."
Lagi katanya: "Siapakah tadinya yang dapat mengatakan kepada Abraham: Sara menyusui anak? Namun aku telah melahirkan seorang anak laki-laki baginya pada masa tuanya."	Sara adhabu pole, "Sapa lamba’ se ngoca’a ka Ibrahim ja’ Sara ngembana ana’? Nyatana sengko’ rembi’ onggu maske tang lake la towa."
Bertambah besarlah anak itu dan ia disapih, lalu Abraham mengadakan perjamuan besar pada hari Ishak disapih itu.	Ishak atamba raja, ban e bakto kana’ jareya epesa, Ibrahim ajang-onjang ce’ rajana.
Pada waktu itu Sara melihat, bahwa anak yang dilahirkan Hagar, perempuan Mesir itu bagi Abraham, sedang main dengan Ishak, anaknya sendiri.	E settong are Sara ngoladi Isma’il, pottrana Ibrahim ban Hagar, babine’ Messer rowa, teppa’na en-maenan ban Ishak, pottrana dibi’.
Berkatalah Sara kepada Abraham: "Usirlah hamba perempuan itu beserta anaknya, sebab anak hamba ini tidak akan menjadi ahli waris bersama-sama dengan anakku Ishak."	Sara mator ka Ibrahim, "Tore pona, tondhung dunor ka’issa’ sareng ana’na. Ana’na babine’ ganeka ja’ parenge bagiyan dhari sangkolan se eparengngagiya sampeyan ka Ishak, ana’ kaula."
Hal ini sangat menyebalkan Abraham oleh karena anaknya itu.	E bakto meyarsa jareya panggaliyanna Ibrahim arassa rekong, sabab Isma’il pottrana keya.
Tetapi Allah berfirman kepada Abraham: "Janganlah sebal hatimu karena hal anak dan budakmu itu; dalam segala yang dikatakan Sara kepadamu, haruslah engkau mendengarkannya, sebab yang akan disebut keturunanmu ialah yang berasal dari Ishak.	Tape Allah adhabu ka Ibrahim, "Ba’na ta’ osa rekong mekkere Hagar dunorra ba’na ban ana’na jareya. Torodi apa oca’na Sara jareya, sabab toronan se ejanjiyagi Sengko’ ka ba’na bakal lahira dhari Ishak.
Tetapi keturunan dari hambamu itu juga akan Kubuat menjadi suatu bangsa, karena iapun anakmu."	Tape ana’na dunor jareya bi’ Sengko’ eberri’ana na’ poto se bannya’ keya, se daddiya settong bangsa. Sabab ana’na dunor jareya ana’na ba’na keya."
Keesokan harinya pagi-pagi Abraham mengambil roti serta sekirbat air dan memberikannya kepada Hagar. Ia meletakkan itu beserta anaknya di atas bahu Hagar, kemudian disuruhnyalah perempuan itu pergi. Maka pergilah Hagar dan mengembara di padang gurun Bersyeba.	Kalagguwanna bi’ Ibrahim Hagar eparenge roti ban kanthong dhari kole’ aesse aeng menangka sango e parjalananna. Ana’na epagindhung ka ebuna. Saellana jareya babine’ buru pas esoro ondur. Daddi Hagar laju ondur, ajalan san-kassannagi e ra-ara Bersyeba.
Ketika air yang dikirbat itu habis, dibuangnyalah anak itu ke bawah semak-semak,	E bakto aeng e kanthongnga rowa la tadha’ sakale, ana’na laju esaba’ e babana but-ombut,
dan ia duduk agak jauh, kira-kira sepemanah jauhnya, sebab katanya: "Tidak tahan aku melihat anak itu mati." Sedang ia duduk di situ, menangislah ia dengan suara nyaring.	aba’na dibi’ pas toju’ e kennengngan laen se jauna ra-kera saratos meter dhari jadhiya. Ca’na pekkerra, "Sengko’ ta’ mangga nangaleyana tang ana’ mate." Daddi sambi toju’ babine’ jareya laju nanges.
Allah mendengar suara anak itu, lalu Malaikat Allah berseru dari langit kepada Hagar, kata-Nya kepadanya: "Apakah yang engkau susahkan, Hagar? Janganlah takut, sebab Allah telah mendengar suara anak itu dari tempat ia terbaring.	Allah meyarsa tangessa Isma’il. Dhari langnge’ laju badha malaekadda Allah adhabu ka Hagar, "Apa se ekasossa ba’na, Hagar? Ella, ja’ tako’. Allah la meyarsa sowarana ana’na ba’na.
Bangunlah, angkatlah anak itu, dan bimbinglah dia, sebab Aku akan membuat dia menjadi bangsa yang besar."	Kassa’ entare ana’na, emban padhiyem. Sabab toronanna ana’na ba’na jareya bakal daddiya bangsa se raja."
Lalu Allah membuka mata Hagar, sehingga ia melihat sebuah sumur; ia pergi mengisi kirbatnya dengan air, kemudian diberinya anak itu minum.	Allah pas mokka’ matana Hagar, daddi Hagar laju nangale’e badha somor. Hagar entar ka somor jareya, laju ngala’ aeng ebaddhai kanthongnga, ana’na pas eenome.
Allah menyertai anak itu, sehingga ia bertambah besar; ia menetap di padang gurun dan menjadi seorang pemanah.	Isma’il atamba raja sarta terros etolonge Allah. Se ekennengnge ra-ara Paran, daddi panganjur se penter.
Maka tinggallah ia di padang gurun Paran, dan ibunya mengambil seorang isteri baginya dari tanah Mesir.	Bi’ ebuna epabine’e oreng Messer.
Pada waktu itu Abimelekh, beserta Pikhol, panglima tentaranya, berkata kepada Abraham: "Allah menyertai engkau dalam segala sesuatu yang engkau lakukan.	E bakto jareya Abimelekh ban Pikhol, panglimana tantarana manggi’i Ibrahim. Abimelekh adhabu, "Allah nolonge sampeyan e dhalem ponapa’a saos se eastane sampeyan.
Oleh sebab itu, bersumpahlah kepadaku di sini demi Allah, bahwa engkau tidak akan berlaku curang kepadaku, atau kepada anak-anakku, atau kepada cucu cicitku; sesuai dengan persahabatan yang kulakukan kepadamu, demikianlah harus engkau berlaku kepadaku dan kepada negeri yang kautinggali sebagai orang asing."	Daddi ngereng samangken sampeyan asompa e ajunanna Allah, ja’ sampeyan ta’ co-ngocowa ka kaula, otabana ka na’-ana’ kaula, otabana ka toronan kaula. Kaula ampon becce’ ka sampeyan, daddi sampeyan kodu sapaneka jugan ka kaula sareng ka nagara se ekennengnge sampeyan paneka."
Lalu kata Abraham: "Aku bersumpah!"	Atorra Ibrahim, "Enggi, abdidalem asompa."
Tetapi Abraham menyesali Abimelekh tentang sebuah sumur yang telah dirampas oleh hamba-hamba Abimelekh.	Tape saellana jareya Ibrahim aserro ka Abimelekh parkara somor se erampas bi’ di-abdina Abimelekh.
Jawab Abimelekh: "Aku tidak tahu, siapa yang melakukan hal itu; lagi tidak kauberitahukan kepadaku, dan sampai hari ini belum pula kudengar."	Dhabuna Abimelekh, "Kaula ta’ oneng pasera se alako sapaneka. Sampeyan ta’ oneng mator ka kaula, ban kaula buru samangken mereng parkara paneka."
Lalu Abraham mengambil domba dan lembu dan memberikan semuanya itu kepada Abimelekh, kemudian kedua orang itu mengadakan perjanjian.	Ibrahim laju ngatore dumba ban sape ka Abimelekh, ban oreng se kadhuwa jareya laju mabadha parjanjiyan.
Tetapi Abraham memisahkan tujuh anak domba betina dari domba-domba itu.	Ibrahim malaen budhu’na dumba papetto’ dhari ba-dumba laenna.
Lalu kata Abimelekh kepada Abraham: "Untuk apakah ketujuh anak domba yang kaupisahkan ini?"	Abimelekh mareksane, "Aponapa me’ epalaen?"
Jawabnya: "Ketujuh anak domba ini harus kauterima dari tanganku untuk menjadi tanda bukti bagiku, bahwa akulah yang menggali sumur ini."	Dhabuna Ibrahim, "Ngereng pondhut budhu’na dumba se papetto’ ka’dhinto menangka tandha ja’ junandalem ngakowe ja’ abdidalem se ngale somor ka’dhinto."
Sebab itu orang menyebutkan tempat itu Bersyeba, karena kedua orang itu telah bersumpah di sana.	Daddi kennengngan jareya laju enyamae Bersyeba, sabab e kennengngan jareya se kadhuwa jareya asompa.
Setelah mereka mengadakan perjanjian di Bersyeba, pulanglah Abimelekh beserta Pikhol, panglima tentaranya, ke negeri orang Filistin.	Saellana mabadha parjanjiyan e Bersyeba jareya, Abimelekh ban Pikhol laju abali ka nagarana oreng Filistin.
Lalu Abraham menanam sebatang pohon tamariska di Bersyeba, dan memanggil di sana nama TUHAN, Allah yang kekal.	Ibrahim laju namen bungkana tamariska e Bersyeba jareya, ban sajjegga jareya kennengngan jareya ekagabay kennengnganna abakte ka PANGERAN, Allah se langgeng.
Dan masih lama Abraham tinggal sebagai orang asing di negeri orang Filistin.	Saellana jareya Ibrahim abak abit alenggi e nagarana oreng Filistin.
Setelah semuanya itu Allah mencoba Abraham. Ia berfirman kepadanya: "Abraham," lalu sahutnya: "Ya, Tuhan."	Ta’ saapa abidda dhari jareya Allah nyoba’ Ibrahim. Ibrahim edikane. "Ibrahim! Ibrahim!" dhabuna. Saodda Ibrahim, "Ka’dhinto, Guste!"
Firman-Nya: "Ambillah anakmu yang tunggal itu, yang engkau kasihi, yakni Ishak, pergilah ke tanah Moria dan persembahkanlah dia di sana sebagai korban bakaran pada salah satu gunung yang akan Kukatakan kepadamu."	Allah adhabu, "Kassa’ ba’na entar ka tana Moriya. Giba Ishak, ana’na ba’na se pera’ settong rowa, se talebat ekaase’e bi’ ba’na. Ana’na ba’na jareya gabay kurban obbaran menangka tor-ator ka Sengko’, e settong gunong se dhaggi’ eduduwagiya bi’ Sengko’."
Keesokan harinya pagi-pagi bangunlah Abraham, ia memasang pelana keledainya dan memanggil dua orang bujangnya beserta Ishak, anaknya; ia membelah juga kayu untuk korban bakaran itu, lalu berangkatlah ia dan pergi ke tempat yang dikatakan Allah kepadanya.	Kalagguwanna gu-laggu Ibrahim thok-ngetthok kaju se epangobbara kurbanna. Kaju jareya ebuwa’ e hemarra. Ibrahim pas mangkat ka kennengngan se edhabuwagi Allah, asareng ban Ishak sarta kabulana kadhuwa.
Ketika pada hari ketiga Abraham melayangkan pandangnya, kelihatanlah kepadanya tempat itu dari jauh.	Saellana olle tello are, kennengngan jareya la katon ka Ibrahim.
Kata Abraham kepada kedua bujangnya itu: "Tinggallah kamu di sini dengan keledai ini; aku beserta anak ini akan pergi ke sana; kami akan sembahyang, sesudah itu kami kembali kepadamu."	Ibrahim pas adhabu ka kabulana se kadhuwa gella’, "Ba’na anante’ e dhinna’ bai; hemarra reya edina’a e dhinna’ keya. Sengko’ ban tang ana’ entara dha’ essa’, abakteya ka Allah. Dhaggi’ mon la mare, sengko’ abaliya dha’ enna’."
Lalu Abraham mengambil kayu untuk korban bakaran itu dan memikulkannya ke atas bahu Ishak, anaknya, sedang di tangannya dibawanya api dan pisau. Demikianlah keduanya berjalan bersama-sama.	Kajuna bi’ Ibrahim epapekol ka Ishak, dineng salerana dibi’ abakta ladding ban mardha. Se kadhuwa pas alomampa asareng.
Lalu berkatalah Ishak kepada Abraham, ayahnya: "Bapa." Sahut Abraham: "Ya, anakku." Bertanyalah ia: "Di sini sudah ada api dan kayu, tetapi di manakah anak domba untuk korban bakaran itu?"	Ca’na Ishak, "Pa’." Saodda Ibrahim, "Apa, Na’?" Ishak atanya, "Kaju ban mardhana ampon badha. Ka’imma budhu’na dumbana se ebadhiya kurban?"
Sahut Abraham: "Allah yang akan menyediakan anak domba untuk korban bakaran bagi-Nya, anakku." Demikianlah keduanya berjalan bersama-sama.	Saodda Ibrahim, "Allah dibi’ se nyadhiya’agiya budhu’na dumbana jareya." Se kadhuwa pas terros alomampa.
Sampailah mereka ke tempat yang dikatakan Allah kepadanya. Lalu Abraham mendirikan mezbah di situ, disusunnyalah kayu, diikatnya Ishak, anaknya itu, dan diletakkannya di mezbah itu, di atas kayu api.	Sanapa’na ka kennengngan se edhabuwagi Allah gella’, Ibrahim pas abadhi kennengnganna kurban. Kajuna etata e attasanna; pottrana etale’e, esaba’ e kennengnganna kurban gella’, e attasanna kajuna.
Sesudah itu Abraham mengulurkan tangannya, lalu mengambil pisau untuk menyembelih anaknya.	Saellana jareya Ibrahim laju mondhut laddingnga epanyambelliya pottrana.
Tetapi berserulah Malaikat TUHAN dari langit kepadanya: "Abraham, Abraham." Sahutnya: "Ya, Tuhan."	Tape Ibrahim laju meyarsa sowarana malaekadda PANGERAN dhari langnge’, "Ibrahim! Ibrahim!" Saodda Ibrahim, "Ka’dhinto, Guste!"
Lalu Ia berfirman: "Jangan bunuh anak itu dan jangan kauapa-apakan dia, sebab telah Kuketahui sekarang, bahwa engkau takut akan Allah, dan engkau tidak segan-segan untuk menyerahkan anakmu yang tunggal kepada-Ku."	Dhabuna Allah kalaban parantara’anna malaekat gella’, "Ja’ pate’e kana’ jareya, ja’ pama-baramma. Sabab sateya Sengko’ tao ja’ ba’na tako’ ka Allah, ban ta’ eman massra’agi ka Sengko’ ana’na ba’na se pera’ settong tadha’ pole jareya."
Lalu Abraham menoleh dan melihat seekor domba jantan di belakangnya, yang tanduknya tersangkut dalam belukar. Abraham mengambil domba itu, lalu mengorbankannya sebagai korban bakaran pengganti anaknya.	Ibrahim atole ka bara’ ka temor, ka dhaja ka lao’, laju ngoladi badha dumba lake’ settong, tandhu’na tacangke’ ka but-ombut. Ibrahim mondhut dumba jareya, laju ebadhi kurban ka Allah menangka gantena pottrana.
